Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct,Status
1789419601,204875796,0,0,0,0,0.00,3.52,LOST-SIGNAL
1789419602,204867168,0,0,0,0,0.00,0.00,LOST-SIGNAL
1789419603,204876872,29,1,1,0,0.00,0.76,OK
1789419604,204877199,114,1,1,0,0.00,1.26,OK
1789419605,204876535,84,0,0,0,0.00,1.75,OK
1789419606,204878890,121,0,0,0,0.00,2.28,OK
1789419607,204906347,100,0,1,0,0.00,1.77,OK
1789419608,204882032,130,1,1,0,0.00,2.77,OK
1789419609,204882455,131,0,0,0,0.00,2.56,OK
1789419610,204893084,104,0,0,0,0.00,1.53,OK
1789419611,204882982,120,0,0,0,0.00,2.77,OK
1789419612,204883399,121,0,0,0,0.00,1.79,OK
1789419613,204885638,118,0,1,0,0.00,3.02,OK
1789419614,204889905,137,0,0,0,0.00,1.53,OK
1789419615,204879797,145,1,1,0,0.00,2.28,OK
1789419616,204883749,117,1,1,0,0.00,2.03,OK
1789419617,204945407,108,0,0,0,0.00,4.24,OK
1789419618,204876022,99,0,0,0,0.00,14.83,OK
1789419619,204874032,102,0,0,0,0.00,0.51,OK
1789419620,204876310,120,0,0,0,0.00,2.01,OK
1789419621,204875097,106,0,0,0,0.00,1.26,OK
1789419622,204876278,79,0,0,0,0.00,0.76,OK
1789419623,204897458,83,0,0,0,0.00,2.02,OK
1789419624,204895406,74,0,0,0,0.00,1.01,OK
1789419625,204893978,75,0,0,0,0.00,1.02,OK
1789419626,204907236,56,0,0,0,0.00,1.51,OK
1789419627,204881898,58,0,0,0,0.00,2.00,OK
1789419628,204882028,68,0,0,0,0.00,1.26,OK
1789419629,204884968,56,0,0,0,0.00,1.01,OK
1789419630,204886969,65,0,0,0,0.00,0.76,OK
1789419631,204884853,70,0,0,0,0.00,1.51,OK
1789419632,204885653,83,0,0,0,0.00,1.27,OK
1789419633,204886347,57,0,0,0,0.00,1.26,OK
1789419634,204897195,73,1,1,0,0.00,1.52,OK
1789419635,204892781,72,0,0,0,0.00,1.01,OK
1789419636,204893574,61,0,0,0,0.00,0.76,OK
1789419637,204892386,57,0,0,0,0.00,1.75,OK
1789419638,204896874,60,0,0,0,0.00,0.25,OK
1789419639,204896308,60,0,0,0,0.00,1.75,OK
1789419640,204896000,55,0,0,0,0.00,1.26,OK
1789419641,204896941,61,0,0,0,0.00,1.26,OK
1789419642,204893922,54,1,1,0,0.00,1.01,OK
1789419643,204895224,52,1,1,0,0.00,1.01,OK
1789419644,204898504,54,0,0,0,0.00,0.51,OK
1789419645,204893345,68,0,0,0,0.00,1.26,OK
1789419646,204894538,67,1,0,0,0.00,1.27,OK
1789419647,204893646,61,0,0,0,0.00,1.51,OK
1789419648,204897596,63,0,0,0,0.00,1.01,OK
1789419649,204896388,56,0,0,0,0.00,1.51,OK
1789419650,204884242,68,0,0,0,0.00,1.51,OK
1789419651,204876052,56,0,1,0,0.00,1.26,OK
1789419652,204881037,37,0,0,0,0.00,1.00,OK
1789419653,204897792,48,1,1,0,0.00,0.76,OK
1789419654,204881941,47,1,1,0,0.00,0.76,OK
1789419655,204891609,47,0,0,0,0.00,1.26,OK
1789419656,204895911,55,0,0,0,0.00,1.75,OK
1789419657,204886617,49,0,0,0,0.00,1.26,OK
1789419658,204899249,57,0,0,0,0.00,1.26,OK
1789419659,204881723,60,0,0,0,0.00,1.26,OK
1789419660,204884352,44,0,1,0,0.00,1.26,OK
1789419661,204883281,73,0,1,0,0.00,2.01,OK
1789419662,204883511,37,1,1,0,0.00,0.75,OK
1789419663,204876083,34,0,0,0,0.00,1.01,OK
1789419664,204884539,65,2,2,0,0.00,1.52,OK
1789419665,204883046,64,1,1,0,0.00,0.51,OK
1789419666,204883686,59,0,1,0,0.00,1.50,OK
1789419667,204883908,78,0,0,0,0.00,1.01,OK
1789419668,204894180,76,0,0,0,0.00,2.01,OK
1789419669,204895128,82,0,0,0,0.00,2.01,OK
1789419670,204892845,76,0,0,0,0.00,2.01,OK
1789419671,204885144,60,0,0,0,0.00,1.50,OK
1789419672,204887286,62,0,0,0,0.00,1.51,OK
1789419673,204887915,56,1,1,0,0.00,2.25,OK
1789419674,204884740,47,2,2,0,0.00,0.51,OK
1789419675,204883179,51,0,0,0,0.00,0.76,OK
1789419676,204895575,39,0,0,0,0.00,1.25,OK
1789419677,204889531,50,0,0,0,0.00,1.01,OK
1789419678,204884632,55,0,0,0,0.00,1.01,OK
1789419679,204883168,40,0,0,0,0.00,0.51,OK
1789419680,204882485,58,1,1,0,0.00,1.50,OK
1789419681,204880602,61,1,1,0,0.00,2.00,OK
1789419682,204875436,65,1,1,0,0.00,1.76,OK
1789419683,204888081,53,0,0,0,0.00,2.00,OK
1789419684,204893954,53,0,0,0,0.00,0.51,OK
1789419685,204883992,64,0,0,0,0.00,1.01,OK
1789419686,204880643,71,0,0,0,0.00,1.51,OK
1789419687,204886928,55,0,0,0,0.00,1.26,OK
1789419688,204883732,31,1,1,0,0.00,0.25,OK
1789419689,204884701,52,0,0,0,0.00,0.76,OK
1789419690,204882127,52,0,0,0,0.00,1.50,OK
1789419691,204881219,57,0,0,0,0.00,1.26,OK
1789419692,204894007,73,0,0,0,0.00,1.01,OK
1789419693,204899085,51,0,0,0,0.00,1.26,OK
1789419694,204892703,37,0,0,0,0.00,0.75,OK
1789419695,204877986,50,0,0,0,0.00,0.76,OK
1789419696,204881289,54,0,0,0,0.00,2.00,OK
1789419697,204880684,58,0,0,0,0.00,1.26,OK
1789419698,204932213,57,1,1,0,0.00,1.50,OK
1789419699,204891448,59,3,3,0,0.00,2.24,OK
1789419700,204881620,43,0,0,0,0.00,0.51,OK
1789419701,204877468,63,0,0,0,0.00,1.51,OK
1789419702,204881438,52,0,0,0,0.00,1.01,OK
1789419703,204878116,47,0,0,0,0.00,1.99,OK
1789419704,204887761,47,0,0,0,0.00,0.76,OK
1789419705,204879436,55,0,1,0,0.00,0.51,OK
1789419706,204875901,53,0,0,0,0.00,0.76,OK
1789419707,204920750,54,0,0,0,0.00,1.75,OK
1789419708,204881640,59,0,0,0,0.00,0.51,OK
1789419709,204885132,44,0,0,0,0.00,1.25,OK
1789419710,204887112,64,0,0,0,0.00,1.50,OK
1789419711,204921695,13,0,0,0,0.00,0.25,OK
1789419712,204889297,64,0,0,0,0.00,0.51,OK
1789419713,204885439,78,1,1,0,0.00,2.25,OK
1789419714,204896528,66,0,0,0,0.00,1.51,OK
1789419715,204895168,58,0,0,0,0.00,1.50,OK
1789419716,204892921,43,0,0,0,0.00,0.76,OK
1789419717,204884474,75,0,0,0,0.00,2.01,OK
1789419718,204893943,57,0,1,0,0.00,1.75,OK
1789419719,204888879,59,0,0,0,0.00,1.01,OK
1789419720,204884647,50,0,0,0,0.00,1.50,OK
1789419721,204880101,49,0,0,0,0.00,0.76,OK
1789419722,204935085,39,0,0,0,0.00,0.75,OK
1789419723,204880900,35,0,0,0,0.00,0.51,OK
1789419724,204881715,59,0,0,0,0.00,1.26,OK
1789419725,204879246,46,1,1,0,0.00,1.25,OK
1789419726,204896412,86,0,0,0,0.00,2.50,OK
1789419727,204881441,80,0,0,0,0.00,1.52,OK
1789419728,204889854,76,0,0,0,0.00,1.51,OK
1789419729,204897224,51,0,0,0,0.00,1.76,OK
1789419730,204892040,62,0,1,0,0.00,1.52,OK
1789419731,204894824,42,0,0,0,0.00,0.50,OK
1789419732,204895054,68,2,3,0,0.00,1.51,OK
1789419733,204891898,57,0,0,0,0.00,1.01,OK
1789419734,204934365,57,0,1,0,0.00,1.01,OK
1789419735,204882924,51,0,0,0,0.00,0.75,OK
1789419736,204892160,55,0,1,0,0.00,1.26,OK
1789419737,204894310,48,0,1,0,0.00,1.01,OK
1789419738,204881928,46,1,0,0,0.00,0.76,OK
1789419739,204879961,58,0,0,0,0.00,1.75,OK
1789419740,204879816,58,0,0,0,0.00,2.00,OK
1789419741,204882846,37,0,0,0,0.00,1.01,OK
1789419742,204885876,64,2,2,0,0.00,0.51,OK
1789419743,204897653,54,1,1,0,0.00,1.26,OK
1789419744,204892346,41,0,0,0,0.00,0.76,OK
1789419745,204886465,71,0,0,0,0.00,1.01,OK
1789419746,204887614,54,1,1,0,0.00,1.26,OK
1789419747,204881626,43,0,0,0,0.00,1.01,OK
1789419748,204884647,75,0,0,0,0.00,1.52,OK
1789419749,204886885,48,0,0,0,0.00,1.25,OK
1789419750,204881466,99,0,0,0,0.00,1.51,OK
1789419751,204884535,78,2,2,0,0.00,1.26,OK
1789419752,204882186,94,1,1,0,0.00,1.26,OK
1789419753,204885149,68,0,0,0,0.00,1.50,OK
1789419754,204917016,118,0,0,0,0.00,1.52,OK
1789419755,204899871,87,0,0,0,0.00,1.26,OK
1789419756,204883298,65,0,0,0,0.00,1.01,OK
1789419757,204932089,42,1,2,0,0.00,0.76,OK
1789419758,204897544,40,1,1,0,0.00,0.51,OK
1789419759,204888467,39,0,0,0,0.00,0.75,OK
1789419760,204898608,54,0,0,0,0.00,1.75,OK
1789419761,204894060,33,0,1,0,0.00,0.75,OK
1789419762,204936646,40,0,0,0,0.00,1.01,OK
1789419763,204891313,39,0,0,0,0.00,0.76,OK
1789419764,204888272,47,1,1,0,0.00,1.50,OK
1789419765,204896531,57,2,2,0,0.00,1.26,OK
1789419766,204898955,53,0,0,0,0.00,1.26,OK
1789419767,204888462,37,0,0,0,0.00,1.00,OK
1789419768,204894165,42,0,0,0,0.00,1.01,OK
1789419769,204882731,51,0,0,0,0.00,0.76,OK
1789419770,204895254,40,1,1,0,0.00,1.25,OK
1789419771,204893714,54,0,0,0,0.00,1.01,OK
1789419772,204898006,43,0,1,0,0.00,1.25,OK
1789419773,204894744,45,1,0,0,0.00,1.01,OK
1789419774,204895439,40,1,1,0,0.00,1.01,OK
1789419775,204886967,48,0,0,0,0.00,1.75,OK
1789419776,204885472,37,0,0,0,0.00,1.50,OK
1789419777,204881945,54,0,0,0,0.00,0.76,OK
1789419778,204892271,50,0,0,0,0.00,1.50,OK
1789419779,204894262,40,0,0,0,0.00,0.75,OK
1789419780,204883752,53,0,0,0,0.00,0.76,OK
1789419781,204876365,35,1,1,0,0.00,0.75,OK
1789419782,204882467,32,0,0,0,0.00,1.00,OK
1789419783,204880808,29,0,1,0,0.00,0.50,OK
1789419784,204894876,66,2,1,0,0.00,1.51,OK
1789419785,204893162,45,1,0,0,0.00,1.25,OK
1789419786,204875717,56,0,0,0,0.00,1.26,OK
1789419787,204876708,69,2,1,0,0.00,1.76,OK
1789419788,204881032,87,0,0,0,0.00,1.02,OK
1789419789,204892855,40,0,0,0,0.00,1.50,OK
1789419790,204935249,40,1,1,0,0.00,1.50,OK
1789419791,204892433,55,1,1,0,0.00,0.76,OK
1789419792,204896387,48,0,0,0,0.00,1.01,OK
1789419793,204896069,34,1,1,0,0.00,0.75,OK
1789419794,204884813,37,1,1,0,0.00,0.75,OK
1789419795,204886784,58,1,1,0,0.00,1.01,OK
1789419796,204884848,40,0,0,0,0.00,1.25,OK
1789419797,204892494,46,0,0,0,0.00,1.01,OK
1789419798,204891284,34,0,0,0,0.00,0.76,OK
1789419799,204888876,55,2,2,0,0.00,1.01,OK
1789419800,204888549,52,1,1,0,0.00,1.75,OK
1789419801,204893690,46,0,0,0,0.00,1.01,OK
1789419802,204894091,39,0,0,0,0.00,0.25,OK
1789419803,204890948,45,0,0,0,0.00,1.01,OK
1789419804,204898169,45,0,0,0,0.00,1.26,OK
1789419805,204922263,54,0,0,0,0.00,2.00,OK
1789419806,204883909,51,0,0,0,0.00,1.01,OK
1789419807,204890813,30,1,1,0,0.00,1.25,OK
1789419808,204878082,48,0,0,0,0.00,1.01,OK
1789419809,204882849,45,0,0,0,0.00,1.26,OK
1789419810,204878552,36,0,0,0,0.00,0.75,OK
1789419811,204884202,47,0,0,0,0.00,0.25,OK
1789419812,204882871,39,0,0,0,0.00,1.25,OK
1789419813,204886175,53,1,1,0,0.00,1.75,OK
1789419814,204894530,50,0,0,0,0.00,1.01,OK
1789419815,204882935,31,0,0,0,0.00,0.50,OK
1789419816,204884152,39,2,2,0,0.00,1.25,OK
1789419817,204883337,52,1,1,0,0.00,1.26,OK
1789419818,204888510,42,0,0,0,0.00,0.51,OK
1789419819,204898109,46,1,2,0,0.00,0.76,OK
1789419820,204884634,61,0,0,0,0.00,0.76,OK
1789419821,204885428,47,0,0,0,0.00,1.25,OK
1789419822,204881013,42,0,0,0,0.00,0.76,OK
1789419823,204873836,36,1,1,0,0.00,0.75,OK
1789419824,204881294,29,0,0,0,0.00,0.50,OK
1789419825,204882136,51,1,1,0,0.00,1.01,OK
1789419826,204885060,30,0,0,0,0.00,1.25,OK
1789419827,204886004,39,0,0,0,0.00,0.75,OK
1789419828,204883717,45,0,0,0,0.00,1.01,OK
1789419829,204894607,40,0,0,0,0.00,0.76,OK
1789419830,204894818,53,0,0,0,0.00,1.01,OK
1789419831,204898778,44,0,0,0,0.00,1.25,OK
1789419832,204899976,48,1,1,0,0.00,1.01,OK
1789419833,204936747,55,0,0,0,0.00,0.76,OK
1789419834,204876641,45,0,0,0,0.00,1.01,OK
1789419835,204894607,53,0,0,0,0.00,1.26,OK
1789419836,204934342,53,0,0,0,0.00,1.01,OK
1789419837,204894337,43,0,0,0,0.00,1.50,OK
1789419838,204889748,47,0,0,0,0.00,1.50,OK
1789419839,204892709,61,0,0,0,0.00,1.75,OK
1789419840,204887909,40,0,0,0,0.00,0.76,OK
1789419841,204887170,45,0,0,0,0.00,0.76,OK
1789419842,204892837,31,0,0,0,0.00,0.25,OK
